,USD,GBP,EUR,JPY100,CHF,AUD,CAD,SGD,HKD100,VND100,KHR100,NZD,MMK100,INR100,AED100,PKR100,NPR100,EGP
2-Jan-20,4.0905,5.4228,4.5889,3.7629,4.224,2.8691,3.152,3.0409,52.4877,0.0177,0.101,2.7541,0.2779,5.7429,111.3622,2.6413,3.5893,0.255
3-Jan-20,4.09,5.3806,4.5708,3.7729,4.2113,2.8565,3.1498,3.0367,52.5076,0.0177,0.0999,2.7385,0.2786,5.7323,111.3486,2.6387,3.5814,0.255
6-Jan-20,4.102,5.365,4.5797,3.7952,4.2219,2.8521,3.1606,3.0396,52.7155,0.0177,0.1004,2.7336,0.2804,5.7155,111.6753,2.655,3.5707,0.2556
7-Jan-20,4.1015,5.4031,4.5896,3.7825,4.2327,2.8417,3.1645,3.0403,52.7541,0.0177,0.1008,2.733,0.2803,5.7071,111.6617,2.6484,3.5636,0.2551
8-Jan-20,4.112,5.3917,4.5884,3.8122,4.2517,2.8206,3.1641,3.0423,52.8939,0.0177,0.1007,2.7256,0.2814,5.7234,111.9475,2.6552,3.5777,0.2558
9-Jan-20,4.0915,5.364,4.5471,3.7473,4.2014,2.8125,3.1395,3.0306,52.6076,0.0177,0.1002,2.7204,0.281,5.7216,111.3894,2.6414,3.5668,0.2552
10-Jan-20,4.0895,5.3444,4.5424,3.735,4.2013,2.8048,3.1298,3.0261,52.6628,0.0176,0.1002,2.7015,0.2788,5.7429,111.335,2.6435,3.589,0.2557
13-Jan-20,4.0665,5.3015,4.5213,3.7106,4.1778,2.8077,3.1131,3.0162,52.3622,0.0175,0.1002,2.6993,0.2789,5.7307,110.7088,2.6254,3.5825,0.255
14-Jan-20,4.0575,5.2725,4.5194,3.6834,4.1802,2.8015,3.1088,3.0144,52.1882,0.0175,0.0996,2.6885,0.2743,5.7382,110.4638,2.6203,3.5785,0.2547
15-Jan-20,4.0825,5.3146,4.5436,3.7146,4.2216,2.8153,3.1249,3.0292,52.4827,0.0176,0.1002,2.6971,0.2764,5.7622,111.1444,2.6364,3.5996,0.2571
16-Jan-20,4.065,5.3014,4.5341,3.6976,4.2164,2.8112,3.1172,3.0204,52.321,0.0175,0.1003,2.6967,0.2752,5.748,110.668,2.6267,3.5877,0.2563
17-Jan-20,4.0635,5.3136,4.5259,3.6852,4.2113,2.8022,3.1153,3.0176,52.2795,0.0175,0.1002,2.6963,0.277,5.725,110.6271,2.6274,3.5811,0.2567
20-Jan-20,4.0575,5.275,4.5012,3.6824,4.1916,2.7905,3.1048,3.0114,52.2318,0.0175,0.1007,2.684,0.2768,5.7084,110.4638,2.6312,3.5675,0.2564
21-Jan-20,4.0605,5.2778,4.5041,3.6842,4.1915,2.7906,3.1113,3.0139,52.2506,0.0175,0.1003,2.682,0.2775,5.7158,110.5455,2.6256,3.569,0.2572
22-Jan-20,4.0805,5.3253,4.5222,3.7128,4.2084,2.7896,3.1185,3.0211,52.5225,0.0176,0.1007,2.6886,0.2791,5.7326,111.0899,2.6386,3.5816,0.2583
23-Jan-20,4.0675,5.3463,4.5094,3.7087,4.2024,2.795,3.0922,3.0153,52.3195,0.0176,0.1005,2.6817,0.2775,5.7224,110.736,2.6322,3.5705,0.2574
24-Jan-20,4.0713,5.3401,4.4997,3.7168,4.1982,2.7874,3.1006,3.0144,52.3751,0.0176,0.1001,2.6937,0.2777,5.702,110.8381,2.6321,3.5703,0.2582
28-Jan-20,4.08,5.3279,4.4958,3.7481,4.2068,2.7532,3.0942,3.0046,52.4513,0.0176,0.1004,2.6667,0.2787,5.7103,111.0763,2.6401,3.5694,0.2584
29-Jan-20,4.0805,5.3142,4.4977,3.7396,4.1933,2.7623,3.1004,3.0063,52.4779,0.0176,0.1004,2.6686,0.2789,5.7278,111.0899,2.6389,3.5753,0.2583
30-Jan-20,4.0865,5.321,4.5007,3.7503,4.2008,2.7549,3.0955,2.9963,52.5733,0.0176,0.1009,2.6646,0.2803,5.7306,111.2533,2.6443,3.5843,0.2586
31-Jan-20,4.086,5.3533,4.5079,3.7467,4.2141,2.7464,3.0957,3.0013,52.596,0.0176,0.1007,2.6518,0.2795,5.7091,111.2397,2.6438,3.5723,0.2586
3-Feb-20,4.103,5.4063,4.5467,3.7817,4.2542,2.7492,3.098,3.0059,52.8284,0.0177,0.1011,2.6528,0.2808,5.7361,111.7025,2.6557,3.5944,0.2599
4-Feb-20,4.1215,5.3544,4.5588,3.7953,4.2668,2.7554,3.0997,3.0044,53.055,0.0177,0.1019,2.6592,0.2831,5.7786,112.2061,2.6649,3.6112,0.2604
5-Feb-20,4.1125,5.358,4.5416,3.7583,4.2434,2.7687,3.0965,2.9968,52.9439,0.0177,0.1015,2.6682,0.286,5.7833,111.9611,2.6629,3.607,0.2603
6-Feb-20,4.1215,5.3526,4.5326,3.7521,4.2317,2.7835,3.1028,2.9761,53.0824,0.0177,0.1014,2.6691,0.2846,5.7894,112.2061,2.6687,3.618,0.2612
7-Feb-20,4.1305,5.3434,4.5361,3.7593,4.2397,2.7759,3.1076,2.9788,53.1996,0.0178,0.1017,2.665,0.2847,5.7993,112.4512,2.6721,3.6253,0.2621
10-Feb-20,4.147,5.3469,4.542,3.7819,4.247,2.77,3.1165,2.9806,53.4012,0.0178,0.102,2.657,0.2862,5.7988,112.9065,2.6838,3.6298,0.2635
11-Feb-20,4.1425,5.3494,4.5197,3.7723,4.2361,2.7728,3.111,2.9834,53.348,0.0178,0.1015,2.6435,0.2859,5.8108,112.7779,2.6787,3.6307,0.2634
12-Feb-20,4.133,5.3539,4.5108,3.7626,4.2357,2.7763,3.1094,2.9794,53.2216,0.0178,0.1013,2.6505,0.2852,5.7979,112.5192,2.6765,3.6242,0.2629
13-Feb-20,4.1425,5.366,4.5037,3.7699,4.2359,2.7829,3.125,2.9832,53.3157,0.0178,0.1021,2.6692,0.2859,5.8094,112.7779,2.6826,3.6282,0.2634
14-Feb-20,4.145,5.4076,4.4926,3.7732,4.2311,2.7852,3.1258,2.981,53.3706,0.0178,0.1018,2.669,0.2874,5.811,112.8459,2.6843,3.6325,0.264
17-Feb-20,4.139,5.3985,4.4848,3.7704,4.2155,2.7798,3.124,2.9745,53.2824,0.0178,0.101,2.663,0.2864,5.7865,112.6826,2.6926,3.6236,0.2647
18-Feb-20,4.148,5.3905,4.4906,3.7793,4.2268,2.775,3.1317,2.9835,53.3996,0.0179,0.1015,2.663,0.2877,5.8144,112.9276,2.6888,3.6356,0.2652
19-Feb-20,4.1545,5.4011,4.4864,3.7797,4.2261,2.7796,3.1346,2.985,53.4743,0.0179,0.1019,2.658,0.2875,5.8036,113.1046,2.6911,3.6293,0.2662
20-Feb-20,4.17,5.3908,4.508,3.7498,4.2445,2.7841,3.1556,2.9902,53.649,0.0179,0.1025,2.6646,0.2878,5.824,113.5265,2.7034,3.6429,0.2673
21-Feb-20,4.19,5.3971,4.521,3.7369,4.2588,2.7734,3.162,2.9924,53.836,0.018,0.1029,2.656,0.2902,5.8454,114.071,2.7166,3.6564,0.2693
24-Feb-20,4.216,5.4582,4.5666,3.7783,4.3051,2.7864,3.1801,3.0083,54.0974,0.0181,0.1036,2.6645,0.292,5.8653,114.7789,2.7414,3.679,0.271
25-Feb-20,4.2195,5.4533,4.579,3.8046,4.3069,2.7887,3.1741,3.019,54.1493,0.0181,0.1035,2.6756,0.2922,5.8657,114.8742,2.736,3.6661,0.2712
26-Feb-20,4.237,5.5075,4.6056,3.8443,4.3416,2.7932,3.1874,3.025,54.3731,0.0182,0.1036,2.6733,0.2926,5.8957,115.3506,2.7474,3.688,0.2719
27-Feb-20,4.2165,5.446,4.5954,3.8219,4.3244,2.7627,3.162,3.0181,54.1045,0.0181,0.1037,2.6539,0.2916,5.8906,114.7925,2.7341,3.678,0.2703
28-Feb-20,4.2085,5.4267,4.6279,3.8437,4.3454,2.7686,3.1417,3.0181,53.9773,0.0181,0.1034,2.6539,0.2925,5.8733,114.5747,2.7289,3.6728,0.2692
2-Mar-20,4.2125,5.3962,4.6607,3.9159,4.3762,2.7396,3.1437,3.0259,54.0397,0.0181,0.1033,2.6191,0.295,5.8081,114.6836,2.7336,3.6453,0.2695
3-Mar-20,4.201,5.3657,4.677,3.8781,4.3786,2.7454,3.1504,3.0237,53.9853,0.0181,0.1028,2.6305,0.2942,5.7641,114.3705,2.7203,3.6099,0.2686
4-Mar-20,4.1825,5.3645,4.6731,3.8963,4.3741,2.7628,3.1306,3.0182,53.834,0.018,0.1028,2.6308,0.2935,5.7255,113.8669,2.7112,3.5682,0.2673
5-Mar-20,4.1725,5.3694,4.6471,3.8805,4.3639,2.7628,3.1146,3.0134,53.6825,0.018,0.1021,2.6241,0.3002,5.6738,113.5946,2.7047,3.5623,0.2666
6-Mar-20,4.1755,5.4094,4.6849,3.9293,4.4131,2.7602,3.1177,3.0182,53.7253,0.018,0.1022,2.6377,0.3015,5.6805,113.6763,2.7066,3.5579,0.267
9-Mar-20,4.2,5.4905,4.7712,4.0332,4.5135,2.7768,3.0864,3.0504,54.0718,0.0181,0.1033,2.659,0.31,5.6754,114.3433,2.7232,3.5601,0.268
10-Mar-20,4.235,5.5267,4.8215,4.0959,4.5501,2.7877,3.1013,3.0564,54.4838,0.0183,0.1042,2.6731,0.3125,5.7039,115.2961,2.6838,3.5708,0.2697
11-Mar-20,4.247,5.4793,4.8072,4.0477,4.5338,2.7563,3.0928,3.0525,54.6611,0.0183,0.105,2.6586,0.3198,5.7276,115.6228,2.6922,3.5809,0.2702
12-Mar-20,4.245,5.4421,4.7848,4.0581,4.5232,2.7463,3.0814,3.0413,54.6251,0.0183,0.1047,2.6567,0.3098,5.7612,115.5684,2.6749,3.6022,0.2704
13-Mar-20,4.2825,5.361,4.7821,4.0753,4.5274,2.6933,3.0745,3.0295,55.0489,0.0185,0.1057,2.626,0.3103,5.7429,116.5893,2.6892,3.6043,0.2728
16-Mar-20,4.2935,5.2962,4.7737,4.0171,4.5204,2.6463,3.1061,3.0299,55.3161,0.0185,0.1061,2.5967,0.31,5.8146,116.8951,2.7452,3.6336,0.2727
17-Mar-20,4.311,5.2771,4.8162,4.0443,4.5463,2.6357,3.0806,3.0374,55.4787,0.0186,0.1068,2.6099,0.3084,5.8254,117.3652,2.713,3.6292,0.2737
18-Mar-20,4.358,5.2788,4.7905,4.0585,4.533,2.6122,3.0615,3.0525,56.1348,0.0187,0.1065,2.5913,0.3062,5.8842,118.6448,2.7487,3.6673,0.2767
19-Mar-20,4.3825,5.067,4.7787,4.0275,4.5085,2.5059,3.0131,3.0301,56.4344,0.0188,0.1085,2.4678,0.3075,5.8786,119.3118,2.765,3.688,0.2783
20-Mar-20,4.4205,5.0975,4.714,3.9771,4.4778,2.5599,3.0497,3.0417,56.9582,0.0189,0.1094,2.5285,0.3109,5.9108,120.3463,2.7893,3.6793,0.2807
23-Mar-20,4.415,5.1205,4.7148,3.9938,4.4754,2.5263,3.0518,3.0271,56.902,0.0188,0.1089,2.4742,0.3109,5.8556,120.2031,2.7908,3.6698,0.2803
24-Mar-20,4.4385,5.1462,4.7918,4.0184,4.5254,2.62,3.0714,3.0477,57.2374,0.0189,0.1097,2.5617,0.3132,5.8145,120.8363,2.8056,3.6353,0.2818
25-Mar-20,4.435,5.2187,4.7845,3.9953,4.5158,2.6428,3.0681,3.0598,57.2033,0.0188,0.1098,2.5783,0.3177,5.8066,120.7411,2.7815,3.6528,0.2816
26-Mar-20,4.3875,5.2075,4.7916,3.9618,4.5014,2.5877,3.0845,3.0299,56.5841,0.0186,0.1083,2.5443,0.317,5.7447,119.4512,2.7159,3.6136,0.2786
27-Mar-20,4.305,5.2428,4.7519,3.9476,4.4741,2.6065,3.0619,3.0045,55.528,0.0182,0.1061,2.5632,0.3086,5.7485,117.2019,2.5625,3.58,0.2733
30-Mar-20,4.3375,5.3941,4.8168,4.0343,4.5505,2.6665,3.0866,3.0348,55.9421,0.0184,0.1069,2.6159,0.3109,5.7472,118.0867,2.6272,3.6215,0.2754
31-Mar-20,4.3275,5.3339,4.7661,3.9865,4.5027,2.6608,3.0501,3.0374,55.8067,0.0183,0.1067,2.5922,0.3136,5.7386,117.8144,2.6159,3.5769,0.2743
1-Apr-20,4.285,5.3205,4.7272,3.9862,4.458,2.6306,3.0455,3.0148,55.2668,0.0181,0.1055,2.5541,0.3094,5.6879,116.6574,2.5793,3.5394,0.2722
2-Apr-20,4.38,5.4281,4.793,4.0776,4.5281,2.6652,3.0891,3.0512,56.5005,0.0186,0.108,2.598,0.3162,5.7327,119.2437,2.6365,3.6179,0.2781
3-Apr-20,4.3675,5.4094,4.7357,4.0415,4.4818,2.6441,3.0833,3.0488,56.3428,0.0185,0.1078,2.576,0.3126,5.7166,118.9034,2.6134,3.6076,0.2773
6-Apr-20,4.3665,5.3474,4.7219,4.0084,4.4675,2.635,3.0724,3.0344,56.3111,0.0185,0.1075,2.5692,0.3119,5.7302,118.8762,2.6108,3.581,0.2772
7-Apr-20,4.345,5.3137,4.69,3.9857,4.4405,2.6513,3.0787,3.0357,56.0446,0.0185,0.1073,2.5811,0.306,5.719,118.2909,2.5999,3.5634,0.2759
8-Apr-20,4.3625,5.3755,4.7412,4.0161,4.4896,2.676,3.1075,3.0571,56.2696,0.0186,0.1074,2.5933,0.3029,5.7686,118.7673,2.6045,3.6051,0.2764
9-Apr-20,4.335,5.3802,4.7128,3.9765,4.4645,2.7076,3.0953,3.0418,55.9214,0.0184,0.1069,2.6105,0.3025,5.7081,118.0186,2.5862,3.5475,0.2752
10-Apr-20,4.3205,5.3797,4.7193,3.9795,4.4652,2.7297,3.085,3.0487,55.7268,0.0184,0.1064,2.6195,0.3043,5.6625,117.6239,2.5833,3.5395,0.2737
13-Apr-20,4.3175,5.3796,4.719,3.9897,4.4685,2.7356,3.0935,3.0479,55.6888,0.0184,0.1062,2.6229,0.304,5.69,117.5422,2.5986,3.5371,0.2741
14-Apr-20,4.32,5.4125,4.7187,4.0147,4.4725,2.7644,3.1097,3.0527,55.7218,0.0184,0.1065,2.6365,0.3042,5.6605,117.6102,2.5923,3.5398,0.2743
15-Apr-20,4.327,5.4622,4.7536,4.0392,4.5073,2.7831,3.114,3.0621,55.8182,0.0184,0.1064,2.6386,0.3047,5.6904,117.8008,2.5934,3.5456,0.2741
16-Apr-20,4.3652,5.4542,4.752,4.0533,4.5156,2.7462,3.0897,3.0578,56.3156,0.0186,0.1074,2.5999,0.3074,5.7015,118.8422,2.6163,3.569,0.2765
17-Apr-20,4.36,5.4456,4.7363,4.0423,4.5004,2.7725,3.1052,3.0629,56.249,0.0186,0.1072,2.6164,0.307,5.6778,118.6992,2.6092,3.5451,0.2768
20-Apr-20,4.375,5.4622,4.7517,4.056,4.5173,2.7759,3.1134,3.0727,56.444,0.0187,0.1076,2.6311,0.3081,5.7152,119.1076,2.6317,3.5793,0.2778
21-Apr-20,4.383,5.4503,4.758,4.0683,4.5242,2.7733,3.1026,3.0803,56.5523,0.0187,0.108,2.6403,0.3108,5.7212,119.3254,2.6791,3.579,0.2783
22-Apr-20,4.395,5.4012,4.7712,4.076,4.5307,2.7649,3.0962,3.0707,56.7082,0.0187,0.1081,2.6207,0.3071,5.7093,119.6521,2.7281,3.5748,0.2791
23-Apr-20,4.365,5.3777,4.719,4.0497,4.4884,2.75,3.0751,3.0553,56.316,0.0186,0.1072,2.5867,0.3035,5.7126,118.8353,2.7256,3.558,0.2771
24-Apr-20,4.369,5.3964,4.7037,4.0557,4.4705,2.7793,3.1018,3.0632,56.3655,0.0186,0.1074,2.6188,0.3066,5.7566,118.9442,2.7315,3.5894,0.2768
27-Apr-20,4.361,5.3972,4.7177,4.0539,4.4788,2.7958,3.0937,3.0641,56.2663,0.0186,0.1068,2.6303,0.3082,5.7178,118.7264,2.7265,3.5649,0.2769
28-Apr-20,4.36,5.4197,4.723,4.0636,4.4709,2.8166,3.1078,3.0717,56.2512,0.0186,0.1065,2.6291,0.3092,5.726,118.7024,2.7106,3.5741,0.2768
29-Apr-20,4.36,5.4332,4.7267,4.0902,4.4805,2.8423,3.1231,3.0791,56.2526,0.0186,0.1065,2.657,0.3077,5.7286,118.6992,2.7059,3.5764,0.2768
30-Apr-20,4.335,5.394,4.7074,4.0596,4.4448,2.8342,3.121,3.0698,55.933,0.0185,0.1058,2.6543,0.3074,5.7451,118.0218,2.6851,3.5794,0.2752
4-May-20,4.346,5.4086,4.7576,4.0718,4.5102,2.7719,3.0711,3.0614,56.0669,0.0185,0.1059,2.6135,0.3089,5.7373,118.3181,2.7078,3.6161,0.2759
5-May-20,4.315,5.3771,4.7081,4.0496,4.4706,2.781,3.0677,3.0488,55.6426,0.0184,0.1051,2.6162,0.3093,5.7047,117.4741,2.7203,3.5618,0.274
6-May-20,4.311,5.3616,4.672,4.0565,4.4325,2.7685,3.0641,3.0409,55.6046,0.0184,0.1051,2.6064,0.3108,5.687,117.3668,2.7028,3.5625,0.2739
8-May-20,4.3,5.3292,4.6646,4.0442,4.4234,2.8066,3.0853,3.0465,55.4771,0.0184,0.105,2.6269,0.3087,5.6733,117.0657,2.7022,3.5474,0.273
12-May-20,4.35,5.3531,4.6947,4.0475,4.4647,2.801,3.0944,3.0637,56.1236,0.0186,0.1059,2.6348,0.3118,5.7267,118.427,2.7196,3.5896,0.2762
13-May-20,4.34,5.3234,4.7115,4.0506,4.4784,2.8097,3.0869,3.0628,55.9953,0.0186,0.1059,2.6413,0.3078,5.7674,118.1579,2.7083,3.5924,0.2756
14-May-20,4.338,5.3078,4.6942,4.0589,4.4637,2.7997,3.0777,3.0567,55.9666,0.0186,0.1056,2.5998,0.3077,5.756,118.1035,2.6919,3.5922,0.2754
15-May-20,4.348,5.315,4.6984,4.0494,4.467,2.8099,3.0949,3.0544,56.0891,0.0186,0.106,2.6127,0.3086,5.7643,118.3757,2.7158,3.5962,0.2762
18-May-20,4.359,5.2716,4.7151,4.0664,4.4843,2.8007,3.0934,3.0558,56.2332,0.0187,0.1065,2.5884,0.3114,5.7484,118.672,2.7235,3.6053,0.2768
19-May-20,4.3415,5.3042,4.7407,4.0456,4.4686,2.84,3.1164,3.0638,56.0103,0.0186,0.1058,2.6231,0.3101,5.742,118.1956,2.7042,3.5744,0.275
20-May-20,4.35,5.3359,4.7572,4.0315,4.4832,2.8499,3.1246,3.0721,56.1243,0.0187,0.1059,2.6555,0.3105,5.7491,118.4302,2.7095,3.5943,0.2755
21-May-20,4.349,5.3103,4.7706,4.0368,4.503,2.8608,3.1233,3.0747,56.1136,0.0187,0.1059,2.6659,0.31,5.7572,118.3998,2.7084,3.5861,0.2749
22-May-20,4.3525,5.3216,4.7647,4.0404,4.4818,2.8579,3.1211,3.0685,56.128,0.0187,0.106,2.6637,0.3102,5.7546,118.495,2.7001,3.5979,0.2744
27-May-20,4.3525,5.3634,4.7753,4.0475,4.5057,2.8898,3.1555,3.0707,56.1421,0.0187,0.1058,2.6929,0.3104,5.768,118.495,2.7001,3.5952,0.2744
28-May-20,4.351,5.3374,4.7965,4.0337,4.4921,2.8836,3.1664,3.0674,56.1242,0.0187,0.1059,2.6931,0.3101,5.7392,118.4542,2.6992,3.5914,0.2747
29-May-20,4.351,5.3613,4.8196,4.048,4.514,2.8851,3.1559,3.0695,56.1227,0.0187,0.105,2.6946,0.3119,5.7461,118.4542,2.705,3.5899,0.2747
1-Jun-20,4.342,5.3732,4.829,4.0291,4.5206,2.9041,3.1613,3.0798,56.0128,0.0186,0.1052,2.7022,0.3106,5.7552,118.2092,2.672,3.5887,0.2731
2-Jun-20,4.293,5.3727,4.779,3.9911,4.4688,2.9188,3.1678,3.0519,55.3882,0.0185,0.104,2.7033,0.3075,5.6846,116.8752,2.6237,3.5518,0.2695
3-Jun-20,4.253,5.3567,4.7608,3.9128,4.4224,2.9575,3.1527,3.0432,54.8742,0.0183,0.1031,2.7257,0.3051,5.6684,115.7862,2.5706,3.5268,0.2657
4-Jun-20,4.2665,5.351,4.7883,3.9176,4.4362,2.9458,3.1578,3.0516,55.0498,0.0183,0.1036,2.7378,0.3056,5.6617,116.1537,2.6015,3.5335,0.2653
5-Jun-20,4.268,5.3753,4.8369,3.9136,4.4668,2.9601,3.1591,3.0535,55.0692,0.0183,0.1035,2.7593,0.3046,5.6564,116.1946,2.6108,3.5293,0.2628
9-Jun-20,4.245,5.406,4.7985,3.9293,4.4367,2.9789,3.1731,3.0576,54.7724,0.0183,0.1032,2.786,0.3032,5.63,115.5684,2.5995,3.512,0.262
10-Jun-20,4.273,5.4365,4.8456,3.9644,4.4915,2.9661,3.1849,3.0744,55.1344,0.0184,0.104,2.7783,0.3059,5.6592,116.3307,2.6055,3.5318,0.2639
11-Jun-20,4.2395,5.4015,4.8275,3.962,4.4939,2.9604,3.161,3.0662,54.6986,0.0183,0.1031,2.7667,0.3043,5.6065,115.4187,2.5752,3.5053,0.2619
12-Jun-20,4.2825,5.3771,4.8319,4.0145,4.5327,2.9149,3.1348,3.0707,55.2527,0.0184,0.1043,2.7395,0.3065,5.619,116.5893,2.6042,3.5318,0.2647
15-Jun-20,4.278,5.3479,4.8113,3.9901,4.4958,2.9137,3.1366,3.0666,55.1982,0.0184,0.1045,2.7413,0.3062,5.6241,116.4668,2.5909,3.5253,0.264
16-Jun-20,4.263,5.4069,4.8515,3.9884,4.5139,2.9749,3.1618,3.0814,55.2305,0.0184,0.1052,2.7785,0.3075,5.6429,116.5349,2.5936,3.519,0.2644
17-Jun-20,4.2745,5.3709,4.8165,3.9824,4.4933,2.9387,3.1557,3.0665,55.1538,0.0184,0.1053,2.7562,0.306,5.6063,116.3715,2.5856,3.5053,0.2642
18-Jun-20,4.28,5.3708,4.8116,4.0077,4.5105,2.9421,3.1511,3.0706,55.224,0.0185,0.1054,2.7576,0.3081,5.6124,116.5213,2.5838,3.5125,0.2645
19-Jun-20,4.283,5.3167,4.7987,4.0056,4.5023,2.933,3.1465,3.0706,55.262,0.0185,0.1054,2.7475,0.3083,5.6101,116.6029,2.5856,3.5156,0.2647
22-Jun-20,4.278,5.2823,4.783,4.0047,4.4923,2.9214,3.1414,3.0596,55.1975,0.0184,0.1053,2.742,0.3095,5.6072,116.4668,2.5709,3.5093,0.2642
23-Jun-20,4.275,5.3363,4.8169,3.9972,4.5119,2.9594,3.1634,3.071,55.1595,0.0184,0.1051,2.7706,0.3071,5.6413,116.3883,2.5691,3.5145,0.2642
24-Jun-20,4.2735,5.3547,4.8361,4.011,4.5241,2.969,3.156,3.0762,55.1409,0.0184,0.105,2.7786,0.3097,5.6619,116.3443,2.5529,3.5307,0.2643
25-Jun-20,4.2785,5.3163,4.8161,3.996,4.5122,2.9387,3.14,3.0725,55.204,0.0184,0.1052,2.7455,0.3105,5.6545,116.4804,2.5498,3.5316,0.2644
26-Jun-20,4.2785,5.3139,4.7986,3.9917,4.5094,2.9423,3.1372,3.0751,55.2032,0.0184,0.1051,2.7481,0.3105,5.6637,116.4804,2.5567,3.5341,0.2648
29-Jun-20,4.2935,5.3048,4.8216,4.0027,4.5307,2.9516,3.1427,3.0824,55.3975,0.0185,0.1058,2.7581,0.3116,5.6772,116.8888,2.5618,3.5472,0.265
30-Jun-20,4.285,5.2708,4.8155,3.9786,4.5022,2.941,3.1351,3.0743,55.2878,0.0185,0.1045,2.7488,0.311,5.6747,116.6574,2.5567,3.5431,0.2652
1-Jul-20,4.2825,5.3034,4.8097,3.9622,4.5198,2.9584,3.1556,3.072,55.2541,0.0185,0.1047,2.7639,0.313,5.6688,116.5893,2.5552,3.5448,0.2652
2-Jul-20,4.29,5.3494,4.8271,3.9918,4.5342,2.9665,3.1553,3.0775,55.3509,0.0185,0.1048,2.7799,0.3166,5.6855,116.7935,2.5597,3.5469,0.266
3-Jul-20,4.2855,5.341,4.8169,3.9863,4.5311,2.966,3.1583,3.0712,55.2946,0.0185,0.1046,2.789,0.317,5.7331,116.671,2.557,3.5705,0.2659
6-Jul-20,4.2825,5.3441,4.8238,3.9776,4.5353,2.9776,3.1604,3.0742,55.257,0.0185,0.1044,2.804,0.3153,5.7378,116.5893,2.5614,3.5862,0.266
7-Jul-20,4.274,5.3483,4.8407,3.9834,4.5398,2.9871,3.1591,3.0732,55.148,0.0184,0.1044,2.8097,0.3147,5.7265,116.3579,2.5689,3.5772,0.2661
8-Jul-20,4.283,5.3752,4.8263,3.9766,4.5416,2.9703,3.1467,3.0682,55.2642,0.0185,0.1046,2.803,0.3149,5.7233,116.6029,2.5613,3.572,0.2672
9-Jul-20,4.2625,5.3757,4.8311,3.9727,4.5425,2.9746,3.1544,3.0634,54.9993,0.0184,0.1041,2.8005,0.3146,5.6883,116.0448,2.5502,3.5512,0.2661
10-Jul-20,4.271,5.3778,4.8158,3.9888,4.5388,2.9656,3.1414,3.0652,55.1093,0.0184,0.1043,2.7981,0.3152,5.6829,116.2762,2.5583,3.5592,0.2671
13-Jul-20,4.2605,5.4087,4.8415,4.0045,4.5504,2.9748,3.15,3.0796,55.2004,0.0185,0.1044,2.8139,0.3151,5.6905,116.494,2.5708,3.5561,0.2677
14-Jul-20,4.2705,5.3584,4.8442,3.982,4.5322,2.9612,3.1366,3.0684,55.0947,0.0184,0.1042,2.788,0.3145,5.678,116.2626,2.5565,3.5496,0.2674
15-Jul-20,4.2655,5.363,4.8684,3.9753,4.5363,2.9831,3.1359,3.0672,55.0295,0.0184,0.1042,2.7933,0.3111,5.6567,116.1265,2.5524,3.5348,0.2673
16-Jul-20,4.2655,5.3628,4.8693,3.9878,4.5128,2.9844,3.1583,3.0686,55.0192,0.0184,0.1042,2.7977,0.3102,5.6779,116.1265,2.5524,3.5475,0.2671
17-Jul-20,4.268,5.3619,4.8589,3.9786,4.514,2.9795,3.1449,3.0664,55.0458,0.0184,0.1044,2.7943,0.3127,5.677,116.1946,2.55,3.5475,0.2675
20-Jul-20,4.2655,5.3517,4.8721,3.9722,4.5385,2.9814,3.1399,3.068,55.0121,0.0184,0.104,2.793,0.3118,5.6951,116.1265,2.5481,3.5537,0.2668
21-Jul-20,4.2575,5.3949,4.8772,3.9714,4.5346,2.9907,3.1488,3.0653,54.9224,0.0184,0.1038,2.8019,0.3112,5.6957,115.9087,2.5286,3.5515,0.2666
22-Jul-20,4.2545,5.417,4.9059,3.9823,4.5615,3.0318,3.1623,3.0736,54.8915,0.0184,0.1038,2.8241,0.3067,5.7077,115.827,2.5306,3.557,0.2662
23-Jul-20,4.253,5.4134,4.9197,3.969,4.5758,3.0356,3.1709,3.0687,54.8647,0.0183,0.1039,2.8329,0.3073,5.7003,115.7862,2.5297,3.5556,0.266
24-Jul-20,4.2585,5.4334,4.946,3.9973,4.6078,3.0327,3.183,3.077,54.9378,0.0184,0.1041,2.8332,0.3097,5.692,115.9359,2.533,3.5599,0.2663
27-Jul-20,4.2655,5.4671,4.9857,4.0315,4.6387,3.036,3.1836,3.0886,55.0288,0.0184,0.104,2.8398,0.3126,5.7056,116.1328,2.5435,3.5625,0.2669
28-Jul-20,4.2475,5.4727,4.998,4.0324,4.6171,3.0374,3.1828,3.0837,54.8004,0.0183,0.1035,2.839,0.313,5.6785,115.6365,2.5453,3.5473,0.2656
29-Jul-20,4.248,5.4922,4.9793,4.0409,4.6254,3.0467,3.1767,3.0817,54.8104,0.0183,0.1036,2.8321,0.3133,5.6709,115.6501,2.5478,3.5478,0.2658
30-Jul-20,4.243,5.5104,4.998,4.0404,4.6491,3.048,3.1809,3.0873,54.748,0.0183,0.1036,2.828,0.3113,5.6613,115.5139,2.545,3.5451,0.2657
3-Aug-20,4.243,5.5481,4.9872,3.9966,4.6334,3.025,3.1633,3.083,54.7466,0.0183,0.1034,2.8097,0.3115,5.6635,115.5139,2.5312,3.5445,0.2657
