target,n,RMSE,MAE,Bias,RMSE_naive,MAE_naive,Bias_naive,RMSE_snaive12,MAE_snaive12,Bias_snaive12,RMSE_vs_naive,RMSE_vs_snaive12,model,coverage_95,n_with_intervals,flag_rate,n_flags,dashboard_model,best_rmse_model,match
cpi_headline,51.0,0.3133737092596635,0.2314799036406283,0.17092549385164119,0.262342389658561,0.19411764705882253,0.18235294117647025,2.253755036534778,2.229411764705881,2.229411764705881,1.194521821911891,0.13904515095016087,"ARIMA(1, 1, 1)",1.0,51,0.0,0.0,"ARIMAX(1, 1, 1)","ARIMAX(1, 1, 1)",True
cpi_transport,51.0,3.921951666740155,0.9828217925290748,-0.5849132324752313,0.30774320845949,0.2647058823529412,0.06470588235294084,1.1048023512348797,1.0411764705882347,1.0411764705882347,12.74423467010946,3.549912491004785,"ARIMA(1, 1, 1)",1.0,51,0.0,0.0,"ETS(add,add,None)","ETS(add,add,None)",True
diesel,51.0,0.42239653618065737,0.254731019987532,0.050165269071483165,0.2573280408121807,0.13044117647058825,0.037794117647058825,0.7740548316191441,0.6574117647058826,0.6200588235294119,1.6414710765584903,0.5456933009475585,"ARIMA(1, 1, 1)",0.7450980392156863,51,0.0,0.0,"ARIMAX(1, 1, 1)","ARIMAX(1, 1, 1)",True
ron95,51.0,0.006746431747529144,0.005168442231692917,-0.0047167093442700495,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,"ARIMA(1, 1, 1)",0.9803921568627452,51,0.0,0.0,"ETS(add,add,None)","ETS(add,add,None)",True
ron97,51.0,0.1295460588892491,0.09832734322119108,-0.04205728548877729,0.08110224121078138,0.05014705882352941,-0.020441176470588244,0.19355801683824148,0.1700000000000001,-0.07941176470588239,1.5973178663776286,0.6692880047304481,"ARIMA(1, 1, 1)",1.0,51,0.0,0.0,"ARIMAX(1, 1, 1)","ARIMA(1, 1, 1)",False
